"State","County","OBJECTID","DEPCODE","covid_hosp","total_staffed_bed_capacity","available_capacity","available","bed_cencus","total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Florida","Alachua",23,1,"95","384",14400,"0.272727273","528","45",700,"0.134615385","52","0",0,"0","0"
"Florida","Alachua",24,1,"95","384",14400,"0.272727273","528","29",1100,"0.275","40","0",0,"0","0"
"Florida","Alachua",25,1,"95","1,165",38800,"0.249839021","1,553","257",5100,"0.165584416","308","26",2100,"0.446808511","47"
"Florida","Alachua",26,1,"95","1,165",38800,"0.249839021","1,553","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",27,1,"95","1,165",38800,"0.249839021","1,553","70",300,"0.041095890","73","2",200,"0.5","4"
"Florida","Alachua",28,1,"95","1,165",38800,"0.249839021","1,553","127",4200,"0.248520710","169","0",0,"0","0"
"Florida","Alachua",29,1,"95","1,165",38800,"0.249839021","1,553","436",6800,"0.134920635","504","31",2300,"0.425925926","54"
"Florida","Alachua",30,1,"95","1,165",38800,"0.249839021","1,553","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",31,1,"95","1,165",38800,"0.249839021","1,553","45",700,"0.134615385","52","0",0,"0","0"
"Florida","Alachua",32,1,"95","1,165",38800,"0.249839021","1,553","29",1100,"0.275","40","0",0,"0","0"
"Florida","Baker",33,2,"30","6",400,"0.4","10","39",300,"0.071428571","42","3",300,"0.5","6"
"Florida","Baker",34,2,"30","6",400,"0.4","10","59",2200,"0.271604938","81","0",0,"0","0"
"Florida","Baker",35,2,"30","6",400,"0.4","10","11",300,"0.214285714","14","0",0,"0","0"
"Florida","Baker",36,2,"30","6",400,"0.4","10","5",300,"0.375","8","0",0,"0","0"
"Florida","Baker",37,2,"30","6",400,"0.4","10","326",10600,"0.245370370","432","22",1800,"0.45","40"
"Florida","Baker",38,2,"30","6",400,"0.4","10","114",400,"0.033898305","118","6",1000,"0.625","16"
"Florida","Baker",39,2,"30","6",400,"0.4","10","16",200,"0.111111111","18","0",0,"0","0"
"Florida","Baker",40,2,"30","6",400,"0.4","10","0",0,"0","0","0",0,"0","0"
"Florida","Baker",41,2,"30","4,310",0,"0.198884758","5,380","39",300,"0.071428571","42","3",300,"0.5","6"
"Florida","Baker",42,2,"30","4,310",0,"0.198884758","5,380","59",2200,"0.271604938","81","0",0,"0","0"
"Florida","Baker",43,2,"30","4,310",0,"0.198884758","5,380","11",300,"0.214285714","14","0",0,"0","0"
"Florida","Baker",44,2,"30","4,310",0,"0.198884758","5,380","5",300,"0.375","8","0",0,"0","0"
"Florida","Baker",45,2,"30","4,310",0,"0.198884758","5,380","326",10600,"0.245370370","432","22",1800,"0.45","40"
"Florida","Baker",46,2,"30","4,310",0,"0.198884758","5,380","114",400,"0.033898305","118","6",1000,"0.625","16"
"Florida","Baker",47,2,"30","4,310",0,"0.198884758","5,380","16",200,"0.111111111","18","0",0,"0","0"
"Florida","Baker",48,2,"30","4,310",0,"0.198884758","5,380","0",0,"0","0","0",0,"0","0"
"Florida","Baker",49,2,"30","433",26400,"0.378766141","697","39",300,"0.071428571","42","3",300,"0.5","6"
"Florida","Baker",50,2,"30","433",26400,"0.378766141","697","59",2200,"0.271604938","81","0",0,"0","0"
"Florida","Baker",51,2,"30","433",26400,"0.378766141","697","11",300,"0.214285714","14","0",0,"0","0"
"Florida","Baker",52,2,"30","433",26400,"0.378766141","697","5",300,"0.375","8","0",0,"0","0"
"Florida","Baker",53,2,"30","433",26400,"0.378766141","697","326",10600,"0.245370370","432","22",1800,"0.45","40"
"Florida","Baker",54,2,"30","433",26400,"0.378766141","697","114",400,"0.033898305","118","6",1000,"0.625","16"
"Florida","Baker",55,2,"30","433",26400,"0.378766141","697","16",200,"0.111111111","18","0",0,"0","0"
"Florida","Baker",56,2,"30","433",26400,"0.378766141","697","0",0,"0","0","0",0,"0","0"
"Florida","Baker",57,2,"30","219",9800,"0.309148265","317","39",300,"0.071428571","42","3",300,"0.5","6"
"Florida","Baker",58,2,"30","219",9800,"0.309148265","317","59",2200,"0.271604938","81","0",0,"0","0"
"Florida","Baker",59,2,"30","219",9800,"0.309148265","317","11",300,"0.214285714","14","0",0,"0","0"
"Florida","Baker",60,2,"30","219",9800,"0.309148265","317","5",300,"0.375","8","0",0,"0","0"
"Florida","Baker",61,2,"30","219",9800,"0.309148265","317","326",10600,"0.245370370","432","22",1800,"0.45","40"
"Florida","Baker",62,2,"30","219",9800,"0.309148265","317","114",400,"0.033898305","118","6",1000,"0.625","16"
"Florida","Baker",63,2,"30","219",9800,"0.309148265","317","16",200,"0.111111111","18","0",0,"0","0"
"Florida","Baker",64,2,"30","219",9800,"0.309148265","317","0",0,"0","0","0",0,"0","0"
"Florida","Bay",65,3,"42","747",14300,"0.160674157","890","0",0,"0","0","0",0,"0","0"
"Florida","Bay",66,3,"42","747",14300,"0.160674157","890","0",0,"0","0","0",0,"0","0"
"Florida","Bay",67,3,"42","747",14300,"0.160674157","890","0",0,"0","0","0",0,"0","0"
"Florida","Bay",68,3,"42","747",14300,"0.160674157","890","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","747",14300,"0.160674157","890","47",900,"0.160714286","56","0",0,"0","0"
"Florida","Bay",NA,3,"42","747",14300,"0.160674157","890","24",400,"0.142857143","28","0",0,"0","0"
"Florida","Bay",NA,3,"42","747",14300,"0.160674157","890","331",4500,"0.119680851","376","23",1800,"0.439024390","41"
"Florida","Bay",NA,3,"42","747",14300,"0.160674157","890","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","47",900,"0.160714286","56","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","24",400,"0.142857143","28","0",0,"0","0"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","331",4500,"0.119680851","376","23",1800,"0.439024390","41"
"Florida","Bay",NA,3,"42","465",9700,"0.172597865","562","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","47",900,"0.160714286","56","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","24",400,"0.142857143","28","0",0,"0","0"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","331",4500,"0.119680851","376","23",1800,"0.439024390","41"
"Florida","Bay",NA,3,"42","119",1300,"0.098484848","132","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","0",0,"0","0","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","47",900,"0.160714286","56","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","24",400,"0.142857143","28","0",0,"0","0"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","331",4500,"0.119680851","376","23",1800,"0.439024390","41"
"Florida","Bay",NA,3,"42","33",2200,"0.4","55","0",0,"0","0","0",0,"0","0"
"Florida","Bradford",NA,4,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","21",900,"0.3","30","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","5",500,"0.5","10","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","72",3200,"0.307692308","104","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","121",1900,"0.135714286","140","63",2300,"0.267441860","86"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","64",800,"0.111111111","72","2",700,"0.777777778","9"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","0",0,"0","0","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","52",700,"0.118644068","59","0",0,"0","0"
"Florida","Brevard",NA,5,"124","992",35100,"0.261355175","1,343","73",1400,"0.160919540","87","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","21",900,"0.3","30","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","5",500,"0.5","10","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","72",3200,"0.307692308","104","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","121",1900,"0.135714286","140","63",2300,"0.267441860","86"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","64",800,"0.111111111","72","2",700,"0.777777778","9"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","0",0,"0","0","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","52",700,"0.118644068","59","0",0,"0","0"
"Florida","Brevard",NA,5,"124","2,851",0,"0.260824475","3,857","73",1400,"0.160919540","87","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","21",900,"0.3","30","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","5",500,"0.5","10","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","72",3200,"0.307692308","104","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","121",1900,"0.135714286","140","63",2300,"0.267441860","86"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","64",800,"0.111111111","72","2",700,"0.777777778","9"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","0",0,"0","0","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","52",700,"0.118644068","59","0",0,"0","0"
"Florida","Brevard",NA,5,"124","86",1300,"0.131313131","99","73",1400,"0.160919540","87","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","21",900,"0.3","30","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","5",500,"0.5","10","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","72",3200,"0.307692308","104","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","121",1900,"0.135714286","140","63",2300,"0.267441860","86"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","64",800,"0.111111111","72","2",700,"0.777777778","9"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","0",0,"0","0","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","52",700,"0.118644068","59","0",0,"0","0"
"Florida","Brevard",NA,5,"124","1",1400,"0.933333333","15","73",1400,"0.160919540","87","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","12",2700,"0.692307692","39","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","836",14900,"0.151269036","985","65",1600,"0.197530864","81"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","5",500,"0.5","10","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","45",900,"0.166666667","54","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","277",9200,"0.249322493","369","70",4200,"0.375","112"
"Florida","Broward",NA,6,"931","22",300,"0.12","25","93",3500,"0.2734375","128","0",600,"1","6"
"Florida","Broward",NA,6,"931","0",0,"0","0","12",2700,"0.692307692","39","0",0,"0","0"
"Florida","Broward",NA,6,"931","0",0,"0","0","836",14900,"0.151269036","985","65",1600,"0.197530864","81"
"Florida","Broward",NA,6,"931","0",0,"0","0","5",500,"0.5","10","0",0,"0","0"
"Florida","Broward",NA,6,"931","0",0,"0","0","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","0",0,"0","0","45",900,"0.166666667","54","0",0,"0","0"
"Florida","Broward",NA,6,"931","0",0,"0","0","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","0",0,"0","0","277",9200,"0.249322493","369","70",4200,"0.375","112"
"Florida","Broward",NA,6,"931","0",0,"0","0","93",3500,"0.2734375","128","0",600,"1","6"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","12",2700,"0.692307692","39","0",0,"0","0"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","836",14900,"0.151269036","985","65",1600,"0.197530864","81"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","5",500,"0.5","10","0",0,"0","0"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","45",900,"0.166666667","54","0",0,"0","0"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","277",9200,"0.249322493","369","70",4200,"0.375","112"
"Florida","Broward",NA,6,"931","4",1700,"0.809523810","21","93",3500,"0.2734375","128","0",600,"1","6"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","12",2700,"0.692307692","39","0",0,"0","0"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","836",14900,"0.151269036","985","65",1600,"0.197530864","81"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","5",500,"0.5","10","0",0,"0","0"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","45",900,"0.166666667","54","0",0,"0","0"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","8",0,"0","8","0",0,"0","0"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","277",9200,"0.249322493","369","70",4200,"0.375","112"
"Florida","Broward",NA,6,"931","14",1500,"0.517241379","29","93",3500,"0.2734375","128","0",600,"1","6"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","309",11600,"0.272941176","425","12",2000,"0.625","32"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","119",900,"0.0703125","128","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","268",2600,"0.088435374","294","34",400,"0.105263158","38"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","156",1200,"0.071428571","168","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","8",200,"0.2","10","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","9",1100,"0.55","20","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","80",3200,"0.285714286","112","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","3,153",72000,"0.185902401","3,873","64",900,"0.123287671","73","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","309",11600,"0.272941176","425","12",2000,"0.625","32"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","119",900,"0.0703125","128","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","268",2600,"0.088435374","294","34",400,"0.105263158","38"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","156",1200,"0.071428571","168","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","8",200,"0.2","10","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","9",1100,"0.55","20","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","80",3200,"0.285714286","112","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","501",21800,"0.303198887","719","64",900,"0.123287671","73","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","309",11600,"0.272941176","425","12",2000,"0.625","32"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","119",900,"0.0703125","128","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","268",2600,"0.088435374","294","34",400,"0.105263158","38"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","156",1200,"0.071428571","168","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","8",200,"0.2","10","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","9",1100,"0.55","20","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","80",3200,"0.285714286","112","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","201",6800,"0.252788104","269","64",900,"0.123287671","73","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","309",11600,"0.272941176","425","12",2000,"0.625","32"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","119",900,"0.0703125","128","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","268",2600,"0.088435374","294","34",400,"0.105263158","38"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","156",1200,"0.071428571","168","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","8",200,"0.2","10","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","9",1100,"0.55","20","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","80",3200,"0.285714286","112","0",0,"0","0"
"Florida","Calhoun",NA,7,"0","11",900,"0.45","20","64",900,"0.123287671","73","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","28",1800,"0.391304348","46","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","82",800,"0.088888889","90","6",0,"0","6"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","31",900,"0.225","40","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","163",10900,"0.400735294","272","0",500,"1","5"
"Florida","Charlotte",NA,8,"40","704",22100,"0.238918919","925","14",900,"0.391304348","23","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","28",1800,"0.391304348","46","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","82",800,"0.088888889","90","6",0,"0","6"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","31",900,"0.225","40","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","163",10900,"0.400735294","272","0",500,"1","5"
"Florida","Charlotte",NA,8,"40","287",16600,"0.366445916","453","14",900,"0.391304348","23","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","28",1800,"0.391304348","46","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","82",800,"0.088888889","90","6",0,"0","6"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","31",900,"0.225","40","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","163",10900,"0.400735294","272","0",500,"1","5"
"Florida","Charlotte",NA,8,"40","58",2700,"0.317647059","85","14",900,"0.391304348","23","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","28",1800,"0.391304348","46","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","82",800,"0.088888889","90","6",0,"0","6"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","31",900,"0.225","40","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","0",0,"0","0","0",0,"0","0"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","163",10900,"0.400735294","272","0",500,"1","5"
"Florida","Charlotte",NA,8,"40","1,447",30400,"0.173615077","1,751","14",900,"0.391304348","23","0",0,"0","0"
"Florida","Citrus",NA,9,"19","779",13100,"0.143956044","910","0",0,"0","0","0",0,"0","0"
"Florida","Citrus",NA,9,"19","779",13100,"0.143956044","910","4,959",0,"0.190102891","6,123","365",21800,"0.373927959","583"
"Florida","Citrus",NA,9,"19","684",20900,"0.234042553","893","0",0,"0","0","0",0,"0","0"
"Florida","Citrus",NA,9,"19","684",20900,"0.234042553","893","4,959",0,"0.190102891","6,123","365",21800,"0.373927959","583"
"Florida","Citrus",NA,9,"19","8",700,"0.466666667","15","0",0,"0","0","0",0,"0","0"
"Florida","Citrus",NA,9,"19","8",700,"0.466666667","15","4,959",0,"0.190102891","6,123","365",21800,"0.373927959","583"
"Florida","Citrus",NA,9,"19","644",16200,"0.200992556","806","0",0,"0","0","0",0,"0","0"
"Florida","Citrus",NA,9,"19","644",16200,"0.200992556","806","4,959",0,"0.190102891","6,123","365",21800,"0.373927959","583"
"Florida","Clay",NA,10,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Collier",NA,11,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Columbia",NA,12,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Dade",NA,13,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Desoto",NA,14,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Dixie",NA,15,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Duval",NA,16,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Escambia",NA,17,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Flagler",NA,18,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Franklin",NA,19,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Gadsden",NA,20,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Gilchrist",NA,21,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Glades",NA,22,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Gulf",NA,23,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Hamilton",NA,24,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Hardee",NA,25,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Hendry",NA,26,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Hernando",NA,27,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Highlands",NA,28,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Hillsborough",NA,29,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
